x,y,v,theta
2.2933417,-17.2434743,4.9590778,-1.496548237937172
2.3080682,-17.4414515,5.022097,-1.5126073078684432
2.3197587,-17.6421303,5.0848636,-1.5251160270603696
2.3288645,-17.8413292,5.1465892,-1.5339270516771206
2.3362575,-18.0417576,5.1525672,-1.539413116475386
2.3425286,-18.2415154,5.0490103,-1.5419134657902567
2.3483141,-18.4417688,4.9447908,-1.5415271611961086
2.3541682,-18.6417208,4.8397307,-1.5382552063161408
2.3606841,-18.841886,4.7364369,-1.532194351746131
2.3684043,-19.0417816,4.6347643,-1.5233796581163856
2.3779001,-19.2418944,4.5349583,-1.5119337497439276
2.3896596,-19.4414425,4.4364165,-1.497862028108121
2.4042733,-19.6414551,4.3393025,-1.4812483752310255
2.4221164,-19.8401797,4.2428526,-1.4619771545817146
2.4439401,-20.0399376,4.147107,-1.4401292567466102
2.4698406,-20.2370257,4.0515398,-1.4154451974371687
2.5010354,-20.4362096,3.9557467,-1.3879298336573493
2.5372295,-20.6319248,3.8597293,-1.3574060600051128
2.5797891,-20.8283332,3.7627586,-1.323658889635569
2.6287488,-21.0223906,3.6648711,-1.2867839141584878
2.6844407,-21.2131793,3.5660086,-1.2462714143432065
2.7487301,-21.4042786,3.4650371,-1.2021253897835558
2.8205833,-21.5902654,3.362773,-1.154622828391789
2.9009103,-21.7720045,3.2587093,-1.1032332017330568
2.9916104,-21.9516428,3.151793,-1.0480395407979748
3.091399,-22.1248183,3.0426261,-0.9895078565904213
3.2008179,-22.2913586,2.9311071,-0.9272757509532144
3.3204077,-22.4508052,2.8182389,-0.8604745961835257
3.4507244,-22.6023207,2.7103446,-0.7880779504769975
3.5917556,-22.7441098,2.6117685,-0.7093301973312802
3.7434014,-22.8742772,2.5249917,-0.6236714270268336
3.9056799,-22.9910311,2.4523929,-0.5309474757080124
4.0781592,-23.0923093,2.3927709,-0.431661515572501
4.2598507,-23.1760025,2.3373269,-0.32641425797008256
4.4492406,-23.2401154,2.2735421,-0.21461094843666267
4.6444081,-23.2826556,2.2025216,-0.09459147357167462
4.8433275,-23.301528,2.1572003,0.03308516033777133
5.043317,-23.2949089,2.1105958,0.1671313832307711
5.2404432,-23.2616527,2.1234789,0.2998286379432765
5.4310034,-23.2027413,2.133783,0.4237795812490357
